dozers_d155ax-6,dozers_d155ax-6_SPECS-1,dozers_d155ax-6_SPECS-2,dozers_d155axi-8,dozers_d155axi-8_SPECS-1,dozers_d155axi-8_SPECS-2,dozers_d275ax-5e0,dozers_d275ax-5e0_SPECS-1,dozers_d275ax-5e0_SPECS-2,dozers_d275ax-5e0_SPECS-3,dozers_d275ax-5e0_SPECS-4,dozers_d31ex-22,dozers_d31ex-22_SPECS-1,dozers_d31ex-22_SPECS-2,dozers_d375a-8,dozers_d375a-8_SPECS-1,dozers_d375a-8_SPECS-10,dozers_d375a-8_SPECS-2,dozers_d375a-8_SPECS-3,dozers_d375a-8_SPECS-4,dozers_d375a-8_SPECS-5,dozers_d375a-8_SPECS-6,dozers_d375a-8_SPECS-7,dozers_d375a-8_SPECS-8,dozers_d375a-8_SPECS-9,dozers_d39ex-22,dozers_d39ex-22_SPECS-1,dozers_d39ex-22_SPECS-2,dozers_d475a-5e0,dozers_d475a-5e0_SPECS-1,dozers_d475a-5e0_SPECS-2,dozers_d475a-5e0_SPECS-3,dozers_d475a-5e0_SPECS-4,dozers_d475asd-5e0,dozers_d475asd-5e0_SPECS-1,dozers_d475asd-5e0_SPECS-2,dozers_d475asd-5e0_SPECS-3,dozers_d475asd-5e0_SPECS-4,dozers_d51ex-px-22,dozers_d51ex-px-22_SPECS-1,dozers_d51ex-px-22_SPECS-2,dozers_d61exi-pxi-23,dozers_d61exi-pxi-23_SPECS-1,dozers_d61exi-pxi-23_SPECS-2,dozers_d61exi-pxi-24,dozers_d61exi-pxi-24_SPECS-1,dozers_d61exi-pxi-24_SPECS-2,dozers_d65ex-px-wx-16,dozers_d65ex-px-wx-16_SPECS-1,dozers_d65ex-px-wx-16_SPECS-2,dozers_d65exi-pxi-18,dozers_d65exi-pxi-18_SPECS-1,dozers_d65exi-pxi-18_SPECS-2,dozers_d85ex-px-15e0,dozers_d85ex-px-15e0_SPECS-1,dozers_d85ex-px-15e0_SPECS-2,dozers_d85exi-pxi-18,dozers_d85exi-pxi-18_SPECS-1,dozers_d85exi-pxi-18_SPECS-2
Engine,Lubrication system,Gear pump,Engine,Lubrication system,Gear pump,Coolant & Lubricant Capacity,Fuel tank,840 ltr,,,Engine,Emissions certification,EPA Tier 3,Engine,Rated RPM,,1800,,,,,,,,Engine,Lubrication system,Gear pump,Engine,Emissions certification,EPA Tier 2,,,Engine,Emissions certification,EPA Tier 2,,,Engine,Lubrication system,Gear pump,Engine,Lubrication system,Gear pump,Engine,Lubrication system,Gear pump,Engine,Lubrication system,Gear pump,Engine,Lubrication system,Gear pump,Engine,Lubrication system,Gear pump,Engine,Lubrication system,Gear pump
Engine,Emissions certification,EPA Tier 3,Engine,Emissions certification,EPA Tier 4 Final,Coolant & Lubricant Capacity,Coolant,100 ltr,,,Hydraulic System,Type,Closed-centre load sensing system,Engine,Fan drive method,,Hydraulic,,,,,,,,Engine,Emissions certification,EPA Tier 3,Coolant & Lubricant Capacity,Fuel tank,1670 ltr,,,Coolant & Lubricant Capacity,Fuel tank,1670 ltr,,,Engine,Emissions certification,EPA Tier 3,Engine,Emissions certification,EPA Tier 4 interim,Engine,Emissions certification,EPA Tier 4,Engine,Emissions certification,EPA Tier 3,Engine,Emissions certification,EPA Tier 4,Engine,Emissions certification,EPA Tier 3,Engine,Emissions certification,EPA Tier 4 Final
Hydraulic System,Type,Closed-centre load sensing system,Hydraulic System,Type,Closed-centre load sensing system,Coolant & Lubricant Capacity,Engine,52 ltr,,,Hydraulic System,Maximum pump flow,99 ltr/min,Coolant & Lubricant Capacity,Fuel tank,,1200 ltr,,,,,,,,Hydraulic System,Type,Closed-centre load sensing system,Coolant & Lubricant Capacity,Coolant,210 ltr,,,Coolant & Lubricant Capacity,Coolant,210 ltr,,,Hydraulic System,Type,Closed-centre load sensing system,Hydraulic System,Type,Closed-centre load sensing system,Hydraulic System,Type,Closed-centre load sensing system,Hydraulic System,Type,Closed-centre load sensing system,Hydraulic System,Type,Closed-centre load sensing system,Hydraulic System,Type,Closed-centre load sensing system,Hydraulic System,Type,Closed-centre load sensing system
Hydraulic System,Maximum pump flow,325 ltr/min,Hydraulic System,Maximum pump flow,325 ltr/min,Coolant & Lubricant Capacity,"Torque converter, transmission, bevel gear, and steering system",90 ltr,,,Hydraulic System,Relief valve setting,27.4 bar,Coolant & Lubricant Capacity,Coolant,,145 ltr,,,,,,,,Hydraulic System,Maximum pump flow,99 ltr/min,Coolant & Lubricant Capacity,Engine,121 ltr,,,Coolant & Lubricant Capacity,Engine,121 ltr,,,Hydraulic System,Maximum pump flow,99 ltr/min,Hydraulic System,Maximum pump flow,171 ltr/min,Hydraulic System,Maximum pump flow,171 ltr/min,Hydraulic System,Maximum pump flow,248 ltr/min,Hydraulic System,Maximum pump flow,248 ltr/min,Hydraulic System,Maximum pump flow,195 ltr/min,Hydraulic System,Maximum pump flow,331 ltr/min
Hydraulic System,Relief valve setting - For implement,280 kg/cm2,Hydraulic System,Relief valve setting - For implement,280 kg/cm2,Coolant & Lubricant Capacity,Final drive (each side),40 ltr,,,Hydraulic System,Hydraulic cylinder,No. of cylinders x bore,Coolant & Lubricant Capacity,Engine,,86 ltr,,,,,,,,Hydraulic System,Relief valve setting,27.46 bar,Coolant & Lubricant Capacity,"Torque converter, transmission, bevel gear, and steering system",210 ltr,,,Coolant & Lubricant Capacity,"Torque converter, transmission, bevel gear, and steering system",210 ltr,,,Hydraulic System,Relief valve setting,27.6 bar,Hydraulic System,Relief valve setting - For implement,280 kg/cm2,Hydraulic System,Relief valve setting - For implement,280 kg/cm2,Hydraulic System,Relief valve setting,285 kg/cm2,Hydraulic System,Relief valve setting - For implement,285 kg/cm2,Hydraulic System,Relief valve setting,230 kg/cm2,Hydraulic System,Relief valve setting,230 kg/cm2
Hydraulic System,Relief valve setting - For steering,390 kg/cm2,Hydraulic System,Relief valve setting - For steering,390 kg/cm2,Final Drive,,,,,Hydraulic System,Blade lift,2 x 75 mm,Coolant & Lubricant Capacity,"Torque converter, transmission, bevel gear, and steering system",,150 ltr,,,,,,,,Hydraulic System,Hydraulic cylinder,No. of cylinders x bore,Coolant & Lubricant Capacity,Final drive (each side),75 ltr,,,Coolant & Lubricant Capacity,Final drive (each side),75 ltr,,,Hydraulic System,Hydraulic cylinder,No. of cylinders x bore,Hydraulic System,Hydraulic cylinder,No. of cylinders x bore,Hydraulic System,Hydraulic cylinder,No. of cylinders x bore,Hydraulic System,Hydraulic cylinder,No. of cylinders x bore,Hydraulic System,Hydraulic cylinder,No. of cylinders x bore,Hydraulic System,Hydraulic cylinder,No. of cylinders x bore,Hydraulic System,Hydraulic cylinder,No. of cylinders x bore
Hydraulic System,Hydraulic cylinder,No. of cylinders x bore,Hydraulic System,Hydraulic cylinder,No. of cylinders x bore,Final Drive,Double-reduction final drive of spur and planetary gear sets to increase tractive effort and reduce gear tooth stresses for long final drive life. Segmented sprocket rims are bolt-on for easy replacement.,,,,Hydraulic System,Blade tilt,1 x 90 mm,Coolant & Lubricant Capacity,Final drive (each side),,65 ltr,,,,,,,,Hydraulic System,Blade lift,2 x 75 mm,Final Drive,,,,,Final Drive,,,,,Hydraulic System,Blade lift,2 x 90 mm,Hydraulic System,Blade lift,2 x 100 mm,Hydraulic System,Blade lift,2 x 100 mm,Hydraulic System,Blade lift,2 x 85-90 mm,Hydraulic System,Blade lift,2 x 85-90 mm,Hydraulic System,Blade lift,2 x 100 mm,Hydraulic System,Blade lift,2 x 100 mm
Hydraulic System,Blade lift,2 x 110 mm,Hydraulic System,Blade lift,2 x 110 mm,Hydraulic System,Hydraulic Control Unit:,,,,Hydraulic System,Blade angle,2 x 80 mm,Final Drive,,,,,,,,,,,Hydraulic System,Blade tilt,1 x 90 mm,Final Drive,Double-reduction final drive of spur and planetary gear sets to increase tractive effort and reduce gear tooth stresses for long final drive life. Segmented sprocket teeth are bolt-on for easy replacement.,,,,Final Drive,Double-reduction final drive of spur and planetary gear sets to increase tractive effort and reduce gear tooth stresses for long final drive life. Segmented sprocket teeth are bolt-on for easy replacement.,,,,Hydraulic System,Blade tilt,1 x 100 mm,Hydraulic System,Blade tilt,1 x 120 mm,Hydraulic System,Blade tilt,1 x 120 mm,Hydraulic System,Blade tilt,1 x 125-130 mm,Hydraulic System,Blade tilt,125-150 mm,Hydraulic System,Blade tilt,1 x 150 mm,Hydraulic System,Blade tilt,1 x 150 mm
Hydraulic System,Blade tilt,1 x 160 mm,Hydraulic System,Blade tilt,1 x 160 mm,Hydraulic System,"Closed-center load sensing system (CLSS) designed for precise and responsive control, and for efficient simultaneous operation.",,,,Hydrostatic Transmission,Type,"Dual-path, hydrostatic transmission System",Final Drive,Double-reduction final drive of spur and planetary gear sets to increase tractive effort and reduce gear tooth stresses for long final drive life. Segmented sprocket teeth are bolt-on for easy replacement.,,,,,,,,,,Hydraulic System,Blade angle,2 x 80 mm,Hydraulic System,Hydraulic Control Unit:,,,,Hydraulic System,Hydraulic Control Unit:,,,,Hydraulic System,Blade angle,2 x 90 mm,Hydraulic System,Blade angle,2 x 110 mm,Hydraulic System,Blade angle,2 x 110 mm,Hydraulic System,Blade angle,2 x 110 mm,Hydraulic System,Blade angle,2 x 110 mm,Hydraulic System,Ripper lift,2 x 130 mm,Hydraulic System,Blade angle (SIGMADOZER),1 x 150 mm
Hydraulic System,Ripper lift,1 x 180 mm,Hydraulic System,Ripper lift,1 x 180 mm,Hydraulic System,All spool control valves externally mounted beside the hydraulic tank. Plunger type hydraulic pump with capacity (discharge flow) of 230 ltr/min at rated engine rpm.,,,,Hydrostatic Transmission,Travel motor,Variable capacity,Hydraulic System,Hydraulic Control Unit:,,,,,,,,,,Hydrostatic Transmission,Type,"Dual-path, hydrostatic transmission System",Hydraulic System,"Closed-center load sensing system (CLSS) designed for precise and responsive control, and for efficient simultaneous operation.",,,,Hydraulic System,"Closed-center load sensing system (CLSS) designed for precise and responsive control, and for efficient simultaneous operation.",,,,Hydraulic System,Ripper lift,1 x 110 mm,Hydrostatic transmission,Travel speeds,,Hydrostatic transmission,Travel speeds,,Hydraulic System,Ripper lift,1 x 125 mm,Hydraulic System,Ripper lift,125 mm,Torqflow transmission,Travel speeds,,Hydraulic System,Ripper lift,2 x 130 mm
Hydraulic System,Ripper tilt,1 x 200 mm,Hydraulic System,Ripper tilt,1 x 200 mm,Hydraulic System,Relief valve setting,27.5 MPa  280 kg/cm²,,,Hydrostatic Transmission,Travel speeds,,Hydraulic System,"Closed-center load sensing system (CLSS) designed for precise and responsive control, and for efficient simultaneous operation.",,,,,,,,,,Hydrostatic Transmission,Travel motor,Variable capacity,Hydraulic System,All spool valves externally mounted beside the hydraulic tank. Plunger type hydraulic pump with capacity (discharge flow) of 542 ltr/min for at rated engine rpm.,,,,Hydraulic System,All spool valves externally mounted beside the hydraulic tank. Plunger type hydraulic pump with capacity (discharge flow) of 542 ltr/min for at rated engine rpm.,,,,Hydrostatic Transmission,Type,"Dual-path, hydrostatic transmission System",Hydrostatic transmission,Forward,0 - 9 km/h,Hydrostatic transmission,Forward,0 - 9 km/h,Torqflow transmission,Type,"Dual-path, hydrostatic transmission System",Hydraulic System,Pitch angle,38o- 52o,Torqflow transmission,Forward,0 - 10.1 km/h,Torqflow transmission,Travel speeds,
Torqflow transmission,Travel speeds,,Torqflow transmission,Travel speeds,,Hydraulic System,Control Valves:,,,,Hydrostatic Transmission,Forward,0 - 8.5 km/h,Hydraulic System,All spool control valves externally mounted beside the hydraulic tank. Variable piston pump with capacity (discharge flow) of 366 ltr/min for implement at rated engine rpm.,,,,,,,,,,Hydrostatic Transmission,Travel speeds,,Hydraulic System,Relief valve setting,27.5 MPa  280 kg/cm²,,,Hydraulic System,Relief valve setting,27.5 MPa  280 kg/cm²,,,Hydrostatic Transmission,Travel motor,Variable capacity,Hydrostatic transmission,Reverse,0 - 9 km/h,Hydrostatic transmission,Reverse,0 - 9 km/h,Torqflow transmission,Travel speeds,,Torqflow transmission,Travel speeds,,Torqflow transmission,Reverse,0 - 13.0 km/h,Torqflow transmission,Forward,0 - 11.3 km/h
Torqflow transmission,Forward,0 - 11.6 km/h,Torqflow transmission,Forward,0 - 11.6 km/h,Hydraulic System,"Spool control valves for SIGMADOZER, Semi-U tilt dozer and Full-U tilt dozer.",,,,Hydrostatic Transmission,Reverse,0 - 8.5 km/h,Hydraulic System,Relief valve setting . . . for implement,,29.8 MPa  304 kg/cm²,,,,,,,,Hydrostatic Transmission,Forward,0 - 8.5 km/h,Hydraulic System,Control Valves:,,,,Hydraulic System,Control Valves:,,,,Hydrostatic Transmission,Travel speeds,,Final drives,Type,"Planetary gear, double-reduction",Final drives,Type,"Planetary gear, double-reduction",Torqflow transmission,Forward,0 - 11.2 km/h,Torqflow transmission,Forward,0 - 11.3 km/h,Final drives,,,Torqflow transmission,Reverse,0 - 13.6 km/h
Torqflow transmission,Reverse,0 - 14 km/h,Torqflow transmission,Reverse,0 - 14 km/h,Hydraulic System,Blade lift,"Raise, hold, lower, and float",,,Final drives,Type,Two-stage planetary gear,Hydraulic System,Control Valves:,,,,,,,,,,Hydrostatic Transmission,Reverse,0 - 8.5 km/h,Hydraulic System,Spool control valves for Semi-U tilt dozer and Full-U tilt dozer.,,,,Hydraulic System,Spool control valves for Super Dozer,,,,Hydrostatic Transmission,Forward,0 - 9 km/h,Final drives,Sprocket,Segmented sprocket teeth are bolt-on,Final drives,Sprocket,Segmented sprocket teeth are bolt-on,Torqflow transmission,Reverse,0 - 13.4 km/h,Torqflow transmission,Reverse,0 - 13.6 km/h,Final drives,Double-reduction final drive of spur and planetary gear sets to increase tractive effort and reduce gear tooth stresses for long final drive life. Segmented sprocket rims are bolt-on for easy replacement.,,Final drives,,
Final drives,,,Final drives,,,Hydraulic System,Blade tilt,"Right, hold, and left",,,Steering system,Minimum turning radius,2.0 - 2.2 m,Hydraulic System,Spool control valves for Semi-U tilt dozer and Full-U tilt dozer.,,,,,,,,,,Final drives,Type,Two-stage planetary gear,Hydraulic System,Blade lift,"Raise, hold, lower, and float",,,Hydraulic System,Blade lift,"Raise, hold, lower, and float",,,Hydrostatic Transmission,Reverse,0 - 9 km/h,Steering system,Type,Hydrostatic Steering system,Steering system,Type,Hydrostatic Steering system,Final drives,,,Final drives,,,Steering system,Type,Hydrostatic Steering system,Final drives,Double-reduction final drive of spur and planetary gear sets to increase tractive effort and reduce gear tooth stresses for long final drive life. Segmented sprocket rims are bolt-on for easy replacement.,
Final drives,"Double-reduction, spur and planetary final drives increase tractiveeffort. Segmented sprockets are bolt-on for easy in-the-field replacement.",,Final drives,"Double-reduction, spur and planetary final drives increase tractive effort. Segmented sprockets are bolt-on for easy in-the-field replacement.",,Hydraulic System,Additional control valve required for variable digging angle multi-shank ripper and giant ripper.,,,,Undercarriage,Suspension,Rigid type,Hydraulic System,Blade lift,,"Raise, hold, lower, and float",,,,,,,,Steering system,Minimum turning radius,2.2 - 2.4 m,Hydraulic System,Blade tilt,"Right, hold, and left",,,Hydraulic System,Blade tilt,"Right, hold, and left",,,Final drives,Type,Two-stage planetary gear,Steering system,Steering control,PCCS-lever,Steering system,Steering control,PCCS-lever,Final drives,Double-reduction final drive of spur and planetary gear sets to increase tractive effort and reduce gear tooth stresses for long final drive life. Segmented sprocket teeth are bolt-on for easy replacement.,,Final drives,Double reduction final drive of spur and planetary gear sets to increase tractive effort and reduce gear tooth stresses for long final drive life. Segmented sprocket teeth are bolt-on for easy replacement.,,Steering system,Minimum turning radius,1.99 - 2.24 m,Steering system,Type,Hydrostatic Steering system
Steering system,Type,Hydrostatic Steering system,Steering system,Type,Hydrostatic Steering system,Hydraulic System,Ripper lift,"Raise, hold, and lower",,,Undercarriage,Track roller frame,"Monocoque, large section, durable construction",Hydraulic System,Blade tilt,,"Right, hold, and left",,,,,,,,Undercarriage,Suspension,Rigid type,Hydraulic System,Spool control valves required for variable digging angle multi-shank ripper.,,,,Hydraulic System,Blade pitch (digging angle),"Increase, hold, and decrease",,,Final drives,Sprocket,Bolted on Segmented sprocket teeth,Steering system,Minimum turning radius,2.1 - 2.3 m,Steering system,Minimum turning radius,2.1 - 2.3 m,Steering system,Type,Hydrostatic Steering system,Steering system,Type,Hydrostatic Steering system,Undercarriage,Suspension,Oscillating equaliser bar and pivot shaft,Steering system,Steering control,PCCS-lever
Steering system,Minimum turning radius,2.14 m,Steering system,Steering control,PCCS-lever,Hydraulic System,Ripper tilt,"Increase, hold, and decrease",,,Undercarriage,Rollers and idlers,Lubricated track rollers,Hydraulic System,Additional control valve required for variable digging angle multi-shank ripper and giant ripper.,,,,,,,,,,Undercarriage,Track roller frame,"Monocoque, large section, durable construction",Hydraulic System,Ripper lift,"Raise, hold, and lower",,,Hydraulic System,Hydraulic Cylinders:,,,,Steering system,Type,Hydrostatic Steering system,Undercarriage,Suspension,Oscillating equaliser bar and forward pivot shaft,Undercarriage,Suspension,Oscillating equaliser bar and forward pivot shaft,Steering system,Minimum turning radius,1.9 - 2.2 m,Steering system,Steering control,PCCS-lever,Undercarriage,Track roller frame,"Monocoque, large section, durable construction",Steering system,Minimum turning radius (D85EXi-18),2.0 m
Undercarriage,Suspension,Oscillating equaliser bar and forward pivot shaft,Steering system,Minimum turning radius,2.14 m,Hydraulic System,Hydraulic Cylinders:,,,,Undercarriage,Number of track rollers (each side),6,Hydraulic System,Ripper lift,,"Raise, hold, and lower",,,,,,,,Undercarriage,Rollers and idlers,Lubricated track rollers,Hydraulic System,Ripper tilt,"Increase, hold, and decrease",,,Hydraulic System,Type,"Double-acting, piston",,,Steering system,Minimum turning radius,1.81 - 1.89 m,Undercarriage,Track roller frame,"Monocoque, large section, durable construction",Undercarriage,Track roller frame,"Monocoque, large section, durable construction",Undercarriage,Suspension,Oscillating equaliser bar and pivot shaft,Steering system,Minimum turning radius,1.9 - 2.1 m,Undercarriage,Rollers and idlers,Lubricated track rollers,Steering system,Minimum turning radius (D85PXi-18),2.2 m
