excavators_hb215lc-1m0,excavators_hb215lc-1m0_SPECS-1,excavators_hb335lc-1,excavators_hb335lc-1_SPECS-1,excavators_pc1250sp-8r,excavators_pc1250sp-8r_SPECS-1,excavators_pc130-8,excavators_pc130-8_SPECS-1,excavators_pc138us-11,excavators_pc138us-11_SPECS-1,excavators_pc138us-8,excavators_pc138us-8_SPECS-1,excavators_pc138us-8os,excavators_pc138us-8os_SPECS-1,excavators_pc138uslc-11,excavators_pc138uslc-11_SPECS-1,excavators_pc160lc-8,excavators_pc160lc-8_SPECS-1,excavators_pc170lc-11,excavators_pc170lc-11_SPECS-1,excavators_pc18mr-3,excavators_pc18mr-3_SPECS-1,excavators_pc200-lc-8m0,excavators_pc200-lc-8m0_SPECS-1,excavators_pc200-lc-8m0_SPECS-2,excavators_pc2000-8,excavators_pc2000-8_SPECS-1,excavators_pc210-lc-11,excavators_pc210-lc-11_SPECS-1,excavators_pc210-lc-11_SPECS-2,excavators_pc210lci-10,excavators_pc210lci-10_SPECS-1,excavators_pc220-lc-8m0,excavators_pc220-lc-8m0_SPECS-1,excavators_pc220-lc-8m0_SPECS-2,excavators_pc228us-lc-11,excavators_pc228us-lc-11_SPECS-1,excavators_pc228us-lc-11_SPECS-2,excavators_pc228us-lc-8,excavators_pc228us-lc-8_SPECS-1,excavators_pc228us-lc-8_SPECS-2,excavators_pc240lc-11,excavators_pc240lc-11_SPECS-1,excavators_pc270-lc-8,excavators_pc270-lc-8_SPECS-1,excavators_pc270-lc-8_SPECS-2,excavators_pc290lc-11,excavators_pc290lc-11_SPECS-1,excavators_pc300-lc-8m0,excavators_pc300-lc-8m0_SPECS-1,excavators_pc300-lc-8m0_SPECS-2,excavators_pc3000-6,excavators_pc3000-6_SPECS-1,excavators_pc30mr-5,excavators_pc30mr-5_SPECS-1,excavators_pc350lc-8m0,excavators_pc350lc-8m0_SPECS-1,excavators_pc35mr-5,excavators_pc35mr-5_SPECS-1,excavators_pc360lc-11,excavators_pc360lc-11_SPECS-1,excavators_pc360lci-11,excavators_pc360lci-11_SPECS-1,excavators_pc4000-11,excavators_pc4000-11_SPECS-1,excavators_pc450lc-8,excavators_pc450lc-8_SPECS-1,excavators_pc450lc-8se,excavators_pc450lc-8se_SPECS-1,excavators_pc45mr-5,excavators_pc45mr-5_SPECS-1,excavators_pc490lc-11,excavators_pc490lc-11_SPECS-1,excavators_pc5500-6,excavators_pc5500-6_SPECS-1,excavators_pc55mr-5,excavators_pc55mr-5_SPECS-1,excavators_pc600lc-8e0,excavators_pc600lc-8e0_SPECS-1,excavators_pc600lc-8e0se,excavators_pc600lc-8e0se_SPECS-1,excavators_pc7000-11,excavators_pc7000-11_SPECS-1,excavators_pc78uu-10,excavators_pc78uu-10_SPECS-1,excavators_pc8000-6,excavators_pc8000-6_SPECS-1,excavators_pc850se-8e0,excavators_pc850se-8e0_SPECS-1,excavators_pc88mr-10,excavators_pc88mr-10_SPECS-1,excavators_pw98mr-10,excavators_pw98mr-10_SPECS-1
Engine | Model,Komatsu SAA4D107E-1-A,Engine | Model,Komatsu SAA6D114E-5,Engine | Model,Komatsu SAA6D170E-5,Engine | Model,Komatsu SAAD95LE-5,Engine | Model,Komatsu SAA4D95LE-7,Engine | Model,Komatsu SAAD95LE-5,Engine | Model,Komatsu SAA4D95LE-5,Engine | Model,Komatsu SAA4D95LE-7,Engine | Model,Komatsu SAA4D107E-1,Engine | Model,Komatsu SAA4D107E-3* Tier 4 Final,Engine | Model,Komatsu 3D67E-2,Engine | Model,Komatsu SAA6D107E-1,,Engine | Model,Komatsu SAA12V140E-3,Engine | Model,Komatsu SAA6D107E-3,,Engine | Model,Komatsu SAA6D107E-2,Engine | Model,Komatsu SAA6D107LE-1,,Engine | Model,Komatsu SAA6D107E-3,,Engine | Model,Komatsu SAA6D107E-1,,Engine | Model,Komatsu SAA6D107LE-3,Engine | Model,Komatsu SAA6D107E-1,,Engine | Model,Komatsu SAA6D107E-3,Engine | Model,Komatsu SAA6D114E-3,,Engine | Version 1 - Tier 1 engine:,,Engine | Model,Komatsu 3D88E-7,Engine | Model,Komatsu SAA6D114E-3,Engine | Model,Komatsu 3D88E-7,Engine | Model,Komatsu SAA6D114E-6,Engine | Model,Komatsu SAA6D114E-6,Engine | Version 1 - Tier 2 engine:,,Engine | Model,Komatsu SAA6D125E-5,Engine | Model,Komatsu SAA6D125E-5,Engine | Model,Komatsu 4D88E-7,Engine | Model,Komatsu SAA6D125E-7,Engine | Model,2 x Komatsu SDA12V159E-2,Engine | Model,Komatsu 4D88E-7,Engine | Model,Komatsu SAA6D140E-5,Engine | Model,Komatsu SAA6D140E-5,Engine | Model,Komatsu SSDA16V159E-2,Engine | Model,Komatsu SAAD95LE-6,Engine | Model,2 x Komatsu SDA16V160E-2,Engine | Model,Komatsu SAA6D140E-5,Engine | Model,Komatsu SAAD95LE-6,Engine | Model,Komatsu SAAD95LE-6
Hydraulic System | Type,HydrauMind System,Hydraulic System | Type,HydrauMind System,Hydraulic System | Number of selectable working modes,2,Hydraulic System | Main pump type,Variable displacement system,Hydraulic System | Type,HydrauMind System,Hydraulic System | Main pump type,Variable capacity piston type,Hydraulic System | Pump for,"Boom, arm, bucket, swing, and travel circuits",Hydraulic System | Type,HydrauMind System,Hydraulic System | Type,HydrauMind System,Hydraulic System | Type,HydrauMind (Hydraulic Mechanical Intelligence),Hydraulic System | Pump for,"Boom, arm, bucket, swing, and travel circuits",Hydraulic System | Type,HydrauMind System,,Hydraulic System | Type,Open-center load-sensing System,Hydraulic System | Type,HydrauMind System,,Hydraulic System | Type,HydrauMind System,Hydraulic System | Type,HydrauMind System,,Hydraulic System | Main pump type,Variable capacity piston type,,Hydraulic System | Main pump type,Variable capacity piston type,,Hydraulic System | Type,HydrauMind System,Hydraulic System | Type,HydrauMind System,,Hydraulic System | Type,HydrauMind System,Hydraulic System | Type,HydrauMind System,,Engine | Number od cylinders,12,Hydraulic System | Type,HydrauMind System,Hydraulic System | Type,HydrauMind System,Hydraulic System | Type,HydrauMind System,Hydraulic System | Type,HydrauMind System,Hydraulic System | Type,HydrauMind System,Engine | Number od cylinders,16,Hydraulic System | Type,HydrauMind System,Hydraulic System | Type,HydrauMind System,Hydraulic System | Type,HydrauMind System,Hydraulic System | Type,HydrauMind System,Hydraulic System | High pressure in line filters,200 microns,Hydraulic System | Type,HydrauMind System,Hydraulic System | Type,Open-center load-sensing System,Hydraulic System | Type,Open-center load-sensing System,Hydraulic System | High pressure in line filters,200 microns,Hydraulic System | Type,HydrauMind System,Hydraulic System | High pressure in line filters,200 microns,Hydraulic System | Type,Open-center load-sensing System,Hydraulic System | Type,HydrauMind System,Hydraulic System | Type,HydrauMind System
Hydraulic System | Number of selectable working modes,5,Hydraulic System | Number of selectable working modes,6,Hydraulic System | Main pump type,Variable displacement piston type,Hydraulic System | Pump for,"Boom, arm, bucket, swing, and travel circuits",Hydraulic System | Number of selectable working modes,6,Hydraulic System | Pump for,"Boom, arm, bucket, swing, and travel circuits",Hydraulic System | Maximum flow,242 ltr/min,Hydraulic System | Number of selectable working modes,6,Hydraulic System | Number of selectable working modes,4,Hydraulic System | Number of selectable working modes,6,Hydraulic System | Maximum flow,95.9 ltr/min,Hydraulic System | Number of selectable working modes,6,,Hydraulic System | Number of selectable working modes,2,Hydraulic System | Number of selectable working modes,6,,Hydraulic System | Number of selectable working modes,6,Hydraulic System | Number of selectable working modes,6,,Hydraulic System | Pump for,"Boom, arm, bucket, swing, and travel circuits",,Hydraulic System | Pump for,"Boom, arm, bucket, swing, and travel circuits",,Hydraulic System | Number of selectable working modes,6,Hydraulic System | Number of selectable working modes,4,,Hydraulic System | Number of selectable working modes,6,Hydraulic System | Number of selectable working modes,6,,Engine | Rated power,940 kW / 1260 HP,Hydraulic System | Number of selectable working modes,2,Hydraulic System | Number of selectable working modes,6,Hydraulic System | Number of selectable working modes,2,Hydraulic System | Number of selectable working modes,6,Hydraulic System | Number of selectable working modes,6,Engine | Rated power,1400 kW / 1874 HP,Hydraulic System | Number of selectable working modes,4,Hydraulic System | Number of selectable working modes,4,Hydraulic System | Number of selectable working modes,2,Hydraulic System | Number of selectable working modes,6,Drives and Brakes | Type,2 x Squirrel cage induction motor,Hydraulic System | Number of selectable working modes,2,Hydraulic System | Number of selectable working modes,3,Hydraulic System | Number of selectable working modes,3,Drives and Brakes | Type,2 x Squirrel cage induction motor,Hydraulic System | Main pump type,"Variable displacement, axial piston",Drives and Brakes | Type,2 x Squirrel cage induction motor,Hydraulic System | Number of selectable working modes,2,Hydraulic System | Number of selectable working modes,6,Hydraulic System | Number of selectable working modes,6
Hydraulic System | Main pump type,Variable displacement piston,Hydraulic System | Main pump type,Variable displacement piston type,Hydraulic System | Pump for,"Boom, arm, bucket, swing, and travel circuits",Hydraulic System | Maximum flow,241.5 ltr/min,Hydraulic System | Main pump type,Variable capacity piston type,Hydraulic System | Maximum flow,241.5 ltr/min,Hydraulic System | Hydraulic Motors,,Hydraulic System | Main pump type,Variable capacity piston type,Hydraulic System | Main pump type,Variable displacement piston,Hydraulic System | Main pump type,Variable capacity piston type,Hydraulic System | Hydraulic Motors,,Hydraulic System | Main pump type,Variable displacement piston type,,Hydraulic System | Main pump type,Variable displacement piston type,Hydraulic System | Main pump type,Variable displacement piston type,,Hydraulic System | Main pump type,Variable displacement piston type,Hydraulic System | Main pump type,Variable displacement piston type,,Hydraulic System | Maximum flow,490 ltr/min,,Hydraulic System | Maximum flow,428 ltr/min,,Hydraulic System | Main pump type,Variable displacement piston type,Hydraulic System | Main pump type,Variable displacement piston type,,Hydraulic System | Main pump type,Variable displacement piston type,Hydraulic System | Main pump type,Two variable displacement piston type,,Engine | Rated RPM,1800,Hydraulic System | Main pump type,"Variable displacement, axial piston",Hydraulic System | Main pump type,Two Variable displacement piston type,Hydraulic System | Main pump type,"Variable displacement, axial piston",Hydraulic System | Main pump type,Variable displacement piston type,Hydraulic System | Main pump type,Variable displacement axial piston type,Engine | Rated RPM,1800,Hydraulic System | Main pump type,Variable displacement piston type,Hydraulic System | Main pump type,Variable displacement piston type,Hydraulic System | Main pump type,"Variable displacement, axial piston",Hydraulic System | Main pump type,Variable displacement piston type,Drives and Brakes | Power Output,2 x 900 kW,Hydraulic System | Main pump type,"Variable displacement, axial piston",Hydraulic System | Main pump type,Variable displacement piston type,Hydraulic System | Main pump type,Variable displacement piston type,Drives and Brakes | Power Output,2 x 1200 kW,Hydraulic System | Pump for,"Boom, arm, bucket, and travel circuits",Drives and Brakes | Power Output,2 x 1450 kW,Hydraulic System | Main pump type,Variable displacement piston type,Hydraulic System | Main pump type,"Variable displacement, axial piston",Hydraulic System | Main pump type,"Variable displacement, axial piston"
Hydraulic System | Pump for,"Boom, arm, bucket, swing, and travel circuits",Hydraulic System | Pump for,"Boom, arm, bucket, swing, and travel circuits",Hydraulic System | Maximum flow,,Drives and Brakes | Steering control,Two levers with pedals,Hydraulic System | Pump for,"Boom, arm, bucket, swing, and travel circuits",Hydraulic System | Hydraulic Motors,,Hydraulic System | Travel,2 x piston motor with parking brake,Hydraulic System | Pump for,"Boom, arm, bucket, swing, and travel circuits",Hydraulic System | Pump for,"Boom, arm, bucket, swing, and travel circuits",Hydraulic System | Pump for,"Boom, arm, bucket, swing, and travel circuits",Hydraulic System | Travel,2 x Variable capacity,Hydraulic System | Pump for,"Boom, arm, bucket, swing, and travel circuits",,Hydraulic System | Pump for,"Boom, arm, bucket, swing, and travel circuits",Hydraulic System | Pump for,"Boom, arm, bucket, swing, and travel circuits",,Hydraulic System | Pump for,"Boom, arm, bucket, swing, and travel circuits",Hydraulic System | Pump for,"Boom, arm, bucket, swing, and travel circuits",,Hydraulic System | Hydraulic Motors,,,Hydraulic System | Hydraulic Motors,,,Hydraulic System | Pump for,"Boom, arm, bucket, swing, and travel circuits",Hydraulic System | Pump for,"Boom, arm, bucket, swing, and travel circuits",,Hydraulic System | Pump for,"Boom, arm, bucket, swing, and travel circuits",Hydraulic System | Pump for,"Boom, arm, bucket, swing, and travel circuits",,Engine | Emissions certification,EPA Tier 2,Hydraulic System | Pump for,"Boom, arm, bucket, and travel circuits",Hydraulic System | Pump for,"Boom, arm, bucket, swing, and travel circuits",Hydraulic System | Pump for,"Boom, arm, bucket, and travel circuits",Hydraulic System | Pump for,"Boom, arm, bucket, swing, and travel circuits",Hydraulic System | Pump for,"Boom, arm, bucket, swing, and travel circuits",Engine | Emissions certification,EPA Tier 4,Hydraulic System | Pump for,"Boom, arm, bucket, swing, and travel circuits",Hydraulic System | Pump for,"Boom, arm, bucket, swing, and travel circuits",Hydraulic System | Pump for,"Boom, arm, bucket, and travel circuits",Hydraulic System | Pump for,"Boom, arm, bucket, swing, and travel circuits",Drives and Brakes | Voltage,6.000 - 7.200 V,Hydraulic System | Pump for,"Boom, arm, bucket, and travel circuits",Hydraulic System | Pump for,"Boom, arm, bucket, swing, and travel circuits",Hydraulic System | Pump for,"Boom, arm, bucket, swing, and travel circuits",Drives and Brakes | Voltage,6.000 - 7.200 V,Hydraulic System | Maximum flow,160 ltr/min,Drives and Brakes | Voltage,6.000 - 7.200 V,Hydraulic System | Pump for,"Boom, arm, bucket, swing, and travel circuits",Hydraulic System | Pump for,"Boom, arm, bucket, and travel circuits",Hydraulic System | Pump for,"Boom, arm, bucket, and travel circuits"
Hydraulic System | Maximum flow,439 ltr/min,Hydraulic System | Maximum flow,535 ltr/min,Hydraulic System | For implement and travel,2 x 494 ltr/min,Drives and Brakes | Drive method,Fully hydrostatic,Hydraulic System | Maximum flow,242 ltr/min,Hydraulic System | Travel,2 x piston motor with parking brake,Hydraulic System | Swing,1 x piston motor with swing holding brake,Hydraulic System | Maximum flow,242 ltr/min,Hydraulic System | Maximum flow,312 ltr/min,Hydraulic System | Maximum flow,312 ltr/min,Hydraulic System | Swing,1 x Fixed capacity,Hydraulic System | Maximum flow,439 ltr/min,,Hydraulic System | Maximum flow,,Hydraulic System | Maximum flow,490 ltr/min,,Hydraulic System | Maximum flow,475 ltr/min,Hydraulic System | Maximum flow,439 ltr/min,,Hydraulic System | Travel,2 x axial piston motor with parking brake,,Hydraulic System | Travel,2 x axial piston motor with parking brake,,Hydraulic System | Maximum flow,490 ltr/min,Hydraulic System | Maximum flow,450 ltr/min,,Hydraulic System | Maximum flow,490 ltr/min,Hydraulic System | Maximum flow,535 ltr/min,,Hydraulic System | Type,Diesel or electric motor,Hydraulic System | Maximum flow,69.8 ltr/min,Hydraulic System | Maximum flow,535 ltr/min,Hydraulic System | Maximum flow,69.8 ltr/min,Hydraulic System | Maximum flow,535 ltr/min,Hydraulic System | Maximum flow,535 ltr/min,Hydraulic System | Type,Open circuit hydraulics,Hydraulic System | Maximum flow,690 ltr/min,Hydraulic System | Maximum flow,690 ltr/min,Hydraulic System | Maximum flow,153.3 ltr/min,Hydraulic System | Maximum flow,780 ltr/min,Drives and Brakes | Amperage,2 x 96 A - 2 x 80 A,Hydraulic System | Maximum flow,153.3 ltr/min,Hydraulic System | Maximum flow,2 x 410 ltr/min,Hydraulic System | Maximum flow,2 x 410 ltr/min,Drives and Brakes | Amperage,2 x 128 A - 2 x 107 A,Hydraulic System | Hydraulic Motors,,Drives and Brakes | Amperage,2 x 155 A - 2 x 128 A,Hydraulic System | Maximum flow,2 x 494 ltr/min,Hydraulic System | Maximum flow,160 ltr/min,Hydraulic System | Maximum flow,160 ltr/min
Hydraulic System | Hydraulic Motors,,Hydraulic System | Hydraulic Motors,,Hydraulic System | For swing,1 x 600 ltr/min,Drives and Brakes | Maximum drawbar pull,122.6 kN 12500 kgf,Hydraulic System | Hydraulic Motors,,Hydraulic System | Swing,1 x piston motor with swing holding brake,Hydraulic System | Relief Valve Setting,,Hydraulic System | Hydraulic Motors,,Hydraulic System | Hydraulic Motors,,Hydraulic System | Hydraulic Motors,,Drives and Brakes | Steering control,Two levers with pedals,Hydraulic System | Hydraulic Motors,,,Hydraulic System | For implement and travel,2317 ltr/min,Hydraulic System | Hydraulic Motors,,,Hydraulic System | Hydraulic Motors,,Hydraulic System | Hydraulic Motors,,,Hydraulic System | Swing,1 x axial piston motor with swing holding brake,,Hydraulic System | Swing,1 x axial piston motor with swing holding brake,,Hydraulic System | Hydraulic Motors,,Hydraulic System | Hydraulic Motors,,,Hydraulic System | Hydraulic Motors,,Hydraulic System | Hydraulic Motors,,,Hydraulic System | Maximum hydraulic pump flows,3 x 910 ltr/min,Hydraulic System | Hydraulic Motors,,Hydraulic System | Hydraulic Motors,,Hydraulic System | Hydraulic Motors,,Hydraulic System | Hydraulic Motors,,Hydraulic System | Hydraulic Motors,,Hydraulic System | Rated flow,"4,140 ltr/min",Hydraulic System | Hydraulic Motors,,Hydraulic System | Hydraulic Motors,,Hydraulic System | Hydraulic Motors,,Hydraulic System | Hydraulic Motors,,Drives and Brakes | Frequency standard,60 Hz @ 1800 rpm,Hydraulic System | Hydraulic Motors,,Hydraulic System | Hydraulic Motors,,Hydraulic System | Hydraulic Motors,,Drives and Brakes | Frequency standard,60 Hz @ 1800 rpm,Hydraulic System | Travel,2 x piston motor with parking brake,Drives and Brakes | Frequency standard,60 Hz @ 1800 rpm,Hydraulic System | Hydraulic Motors,,Hydraulic System | Hydraulic Motors,,Hydraulic System | Hydraulic Motors,
Hydraulic System | Travel,2 x axial piston motors with parking brake,Hydraulic System | Travel,2 x axial piston motor with parking brake,Hydraulic System | Hydraulic Motors,,Drives and Brakes | Travel speeds,2.9 / 5.5 km/h,Hydraulic System | Travel,2 x piston motor with parking brake,Hydraulic System | Relief Valve Setting,,Hydraulic System | Implement circuits,355 kgf/cm3,Hydraulic System | Travel,2 x piston motor with parking brake,Hydraulic System | Travel,2 x axial piston motor with parking brake,Hydraulic System | Travel,2 x piston motors with parking brake,Drives and Brakes | Drive method,Fully hydrostatic,Hydraulic System | Travel,2 x axial piston motor with parking brake,,Hydraulic System | For swing,324 ltr/min,Hydraulic System | Travel,2 x axial piston motor with parking brake,,Hydraulic System | Travel,2 x axial piston motor with parking brake,Hydraulic System | Travel,2 x axial piston motor with parking brake,,Hydraulic System | Relief Valve Setting,,,Hydraulic System | Relief Valve Setting,,,Hydraulic System | Travel,2 x axial piston motor with parking brake,Hydraulic System | Travel,2 x axial piston motor with parking brake,,Hydraulic System | Travel,2 x axial piston motor with parking brake,Hydraulic System | Travel,2 x axial piston motor with parking brake,,Hydraulic System | Relief valve setting,310 bar,Hydraulic System | Travel,2 x axial piston motors with parking brake,Hydraulic System | Travel,2 x axial piston motor with parking brake,Hydraulic System | Travel,2 x axial piston motors with parking brake,Hydraulic System | Travel,2 x axial piston motor with parking brake,Hydraulic System | Travel,2 x axial piston motor with parking brake,Hydraulic System | Relief valve setting,310 bar,Hydraulic System | Travel,2 x axial piston motor with parking brake,Hydraulic System | Travel,2 x axial piston motor with parking brake,Hydraulic System | Travel,2 x axial piston motors with parking brake,Hydraulic System | Travel,2 x axial piston motor with parking brake,Drives and Brakes | Frequency option,50 Hz @ 1500 rpm,Hydraulic System | Travel,2 x axial piston motors with parking brake,Hydraulic System | Travel,2 x axial piston motor with parking brake,Hydraulic System | Travel,2 x axial piston motor with parking brake,Drives and Brakes | Frequency option,50 Hz @ 1500 rpm,Hydraulic System | Swing,1 x piston motor with swing holding brake,Drives and Brakes | Frequency option,50 Hz @ 1500 rpm,Hydraulic System | Travel,2 x axial piston motor with parking brake,Hydraulic System | Travel,2 x piston motor with parking brake,Hydraulic System | Travel,"1 x piston motor, variable displacement"
Hydraulic System | Relief Valve Setting,,Hydraulic System | Relief Valve Setting,,Hydraulic System | Travel,2 x axial piston motor with parking brake,Drives and Brakes | Service brake,Hydraulic lock,Hydraulic System | Swing,1 x piston motor with swing holding brake,Hydraulic System | Implement circuits,355 kgf/cm3,Hydraulic System | Travel circuit,355 kgf/cm3,Hydraulic System | Swing,1 x piston motor with swing holding brake,Hydraulic System | Swing,1 x axial piston motor with swing holding brake,Hydraulic System | Swing,1 x axial piston motor with swing holding brake,Drives and Brakes | Maximum drawbar pull,1700 kg,Hydraulic System | Swing,1 x axial piston motor with swing holding brake,,Hydraulic System | Hydraulic Motors,,Hydraulic System | Swing,1 x axial piston motor with swing holding brake,,Hydraulic System | Swing,1 x axial piston motor with swing holding brake,Hydraulic System | Swing,1 x axial piston motor with swing holding brake,,Hydraulic System | Implement circuits,380 kgf/cm3,,Hydraulic System | Implement circuits,355 kgf/cm3,,Hydraulic System | Swing,1 x axial piston motor with swing holding brake,Hydraulic System | Swing,1 x axial piston motor with swing holding brake,,Hydraulic System | Swing,1 x axial piston motor with swing holding brake,Hydraulic System | Swing,1 x axial piston motor with swing holding brake,,Hydraulic System | Swing flow rate,800 ltr/min,Hydraulic System | Swing,1 x axial piston motor with swing holding brake,Hydraulic System | Swing,1 x axial piston motor with swing holding brake,Hydraulic System | Swing,1 x axial piston motor with swing holding brake,Hydraulic System | Swing,1 x axial piston motor with swing holding brake,Hydraulic System | Swing,1 x axial piston motor with swing holding brake,Hydraulic System | Swing flow rate,"1,590 ltr/min",Hydraulic System | Swing,1 x axial piston motor with swing holding brake,Hydraulic System | Swing,1 x axial piston motor with swing holding brake,Hydraulic System | Swing,1 x axial piston motor with swing holding brake,Hydraulic System | Swing,1 x axial piston motor with swing holding brake,Drives and Brakes | Travel control,2 foot pedals,Hydraulic System | Swing,1 x axial piston motor with swing holding brake,Hydraulic System | Swing,2 x axial piston motor with swing holding brake,Hydraulic System | Swing,2 x axial piston motor with swing holding brake,Drives and Brakes | Travel control,2 foot pedals,Hydraulic System | Relief Valve Setting,,Drives and Brakes | Travel control,2 foot pedals,Hydraulic System | Swing,2 x axial piston motor with swing holding brake,Hydraulic System | Swing,1 x piston motor with swing holding brake,Hydraulic System | Swing,1 x piston motor with swing holding brake
Hydraulic System | Implement circuits,380 kgf/cm3,Hydraulic System | Implement circuits,380 kgf/cm3,Hydraulic System | Swing,2 x axial piston motor with swing holding brake,Drives and Brakes | Parking brake,Mechanical disc brake,Hydraulic System | Relief Valve Setting,,Hydraulic System | Travel circuit,355 kgf/cm3,Hydraulic System | Swing circuit,276 kgf/cm3,Hydraulic System | Relief Valve Setting,,Hydraulic System | Relief Valve Setting,,Hydraulic System | Relief Valve Setting,,Drives and Brakes | Gradeability,58 %,Hydraulic System | Relief Valve Setting,,,Hydraulic System | Travel,2 x axial piston motor with parking brake,Hydraulic System | Relief Valve Setting,,,Hydraulic System | Relief Valve Setting,,Hydraulic System | Relief Valve Setting,,,Hydraulic System | Travel circuit,380 kgf/cm3,,Hydraulic System | Travel circuit,380 kgf/cm3,,Hydraulic System | Relief Valve Setting,,Hydraulic System | Relief Valve Setting,,,Hydraulic System | Relief Valve Setting,,Hydraulic System | Relief Valve Setting,,,Hydraulic System | High pressure in line filters,200 microns,Hydraulic System | Relief Valve Setting,,Hydraulic System | Relief Valve Setting,,Hydraulic System | Relief Valve Setting,,Hydraulic System | Relief Valve Setting,,Hydraulic System | Relief Valve Setting,,Hydraulic System | High pressure in line filters,200 microns,Hydraulic System | Relief Valve Setting,,Hydraulic System | Relief Valve Setting,,Hydraulic System | Relief Valve Setting,,Hydraulic System | Relief Valve Setting,,Drives and Brakes | Gradeability,50 %,Hydraulic System | Relief Valve Setting,,Hydraulic System | Relief Valve Setting,,Hydraulic System | Relief Valve Setting,,Drives and Brakes | Gradeability,50 %,Hydraulic System | Implement circuits,270 kgf/cm3,Drives and Brakes | Gradeability,50 %,Hydraulic System | Relief Valve Setting,,Hydraulic System | Relief Valve Setting,,Hydraulic System | Relief Valve Setting,
Hydraulic System | Travel circuit,380 kgf/cm3,Hydraulic System | Travel circuit,380 kgf/cm3,Hydraulic System | Relief Valve Setting,,Swing System | Driven by,Hydrostatic,Hydraulic System | Implement circuits,355 kgf/cm3,Hydraulic System | Swing circuit,276 kgf/cm3,Hydraulic System | Pilot circuit,33 kgf/cm3,Hydraulic System | Implement circuits,355 kgf/cm3,Hydraulic System | Implement circuits,380 kgf/cm3,Hydraulic System | Implement circuits,380 kgf/cm3,Drives and Brakes | Travel speeds,2.3 / 4.3 km/h,Hydraulic System | Implement circuits,380 kgf/cm3,,Hydraulic System | Swing,2 x axial piston motor with swing holding brake,Hydraulic System | Implement circuits,380 kgf/cm3,,Hydraulic System | Implement circuits,380 kgf/cm3,Hydraulic System | Implement circuits,380 kgf/cm3,,Hydraulic System | Swing circuit,299 kgf/cm3,,Hydraulic System | Swing circuit,290 kgf/cm3,,Hydraulic System | Implement circuits,380 kgf/cm3,Hydraulic System | Implement circuits,380 kgf/cm3,,Hydraulic System | Implement circuits,380 kgf/cm3,Hydraulic System | Implement circuits,380 kgf/cm3,,Drives and Brakes | Type,Squirrel cage induction motor,Hydraulic System | Implement circuits,265 kgf/cm3,Hydraulic System | Implement circuits,380 kgf/cm3,Hydraulic System | Implement circuits,265 kgf/cm3,Hydraulic System | Implement circuits,380 kgf/cm3,Hydraulic System | Implement circuits,380 kgf/cm3,Electric System | System,24 V,Hydraulic System | Implement circuits,380 kgf/cm3,Hydraulic System | Implement circuits,380 kgf/cm3,Hydraulic System | Implement circuits,270 kgf/cm3,Hydraulic System | Implement circuits,380 kgf/cm3,Drives and Brakes | Travel speed,Max 2.1 km/h,Hydraulic System | Implement circuits,270 kgf/cm3,Hydraulic System | Implement circuits - Backhoe,325 kgf/cm3,Hydraulic System | Implement circuits - Backhoe,325 kgf/cm3,Drives and Brakes | Travel speed,Max 2.5 km/h,Hydraulic System | Travel circuit,270 kgf/cm3,Drives and Brakes | Travel speed,Max 2.4 km/h,Hydraulic System | Implement circuits,320 kgf/cm3,Hydraulic System | Implement circuits,270 kgf/cm3,Hydraulic System | Implement circuits,270 kgf/cm3
