wheel-loaders_wa100m-8e0,wheel-loaders_wa100m-8e0_SPECS-1,wheel-loaders_wa100m-8e0_SPECS-2,wheel-loaders_wa1200-6,wheel-loaders_wa1200-6_SPECS-1,wheel-loaders_wa1200-6_SPECS-2,wheel-loaders_wa150-5,wheel-loaders_wa150-5_SPECS-1,wheel-loaders_wa200-8,wheel-loaders_wa200-8_SPECS-1,wheel-loaders_wa200pz-6,wheel-loaders_wa200pz-6_SPECS-1,wheel-loaders_wa250pz-6,wheel-loaders_wa250pz-6_SPECS-1,wheel-loaders_wa270-8,wheel-loaders_wa270-8_SPECS-1,wheel-loaders_wa270-8_SPECS-2,wheel-loaders_wa320-8,wheel-loaders_wa320-8_SPECS-1,wheel-loaders_wa320-8_SPECS-2,wheel-loaders_wa320pz-6,wheel-loaders_wa320pz-6_SPECS-1,wheel-loaders_wa380-6,wheel-loaders_wa380-6_SPECS-1,wheel-loaders_wa380-6_SPECS-2,wheel-loaders_wa380-8,wheel-loaders_wa380-8_SPECS-1,wheel-loaders_wa380-8_SPECS-2,wheel-loaders_wa430-6,wheel-loaders_wa430-6_SPECS-1,wheel-loaders_wa430-6_SPECS-2,wheel-loaders_wa470-7,wheel-loaders_wa470-7_SPECS-1,wheel-loaders_wa470-7_SPECS-2,wheel-loaders_wa470-8,wheel-loaders_wa470-8_SPECS-1,wheel-loaders_wa470-8_SPECS-2,wheel-loaders_wa480-6,wheel-loaders_wa480-6_SPECS-1,wheel-loaders_wa480-6_SPECS-2,wheel-loaders_wa500-7,wheel-loaders_wa500-7_SPECS-1,wheel-loaders_wa500-7_SPECS-2,wheel-loaders_wa500-8-yl,wheel-loaders_wa500-8-yl_SPECS-1,wheel-loaders_wa500-8-yl_SPECS-2,wheel-loaders_wa600-6,wheel-loaders_wa600-6_SPECS-1,wheel-loaders_wa600-6_SPECS-2,wheel-loaders_wa600-8-lc,wheel-loaders_wa600-8-lc_SPECS-1,wheel-loaders_wa600-8-lc_SPECS-2,wheel-loaders_wa70-7,wheel-loaders_wa70-7_SPECS-1,wheel-loaders_wa70-7_SPECS-2,wheel-loaders_wa700-3,wheel-loaders_wa700-3_SPECS-1,wheel-loaders_wa700-3_SPECS-2,wheel-loaders_wa800-3e0,wheel-loaders_wa800-3e0_SPECS-1,wheel-loaders_wa800-3e0_SPECS-2,wheel-loaders_wa900-8r,wheel-loaders_wa900-8r_SPECS-1,wheel-loaders_wa900-8r_SPECS-2
Engine | Model,Komatsu SAA4D94LE-3,,Engine | Model,Komatsu SSD16V160E-2,,Engine | Model,Komatsu SAA4D102E-2,Engine  | Model,Komatsu SAA4D107E-3,Engine | Model,Komatsu SAA6D107E-1,Engine | Model,Komatsu SAA6D107E-1,Engine | Model,Komatsu SAA6D107E-3,,Engine | Model,Komatsu SAA6D107E-3,,Engine | Model,Komatsu SAA6D107E-1,Engine | Model,Komatsu SAA6D107E-1,,Engine | Model,Komatsu SAA6D107E-3,,Engine | Model,Komatsu SAA6D114E-3,,Engine | Model,Komatsu SAA6D125E-6,,Engine | Model,Komatsu SAA6D125E-7,,Engine | Model,Komatsu SAA6D125E-5,,Engine | Model,Komatsu SAA6D140E-6,,Engine | Model,Komatsu SAA6D140E-7,,Engine | Model,Komatsu SAA6D170E-5,,Engine | Model,Komatsu SAA6D170E-7,,Engine | Model,Komatsu 4D95LWE-5,,Engine | Model,Komatsu SAA6D170E-3,,Engine | Model,Komatsu SAA12V140E-3,,Engine | Model,Komatsu SAA12V140E-7,
Transmission | Speed ranges,2,,Operation / Application | Bucket capacity SAE,21.5 – 40.0 m3,,Operation / Application | Bucket capacity SAE,1.3 - 1.7 m3,Operation / Application | Standard bucket capacity SAE,2.6 – 3.1 yd3  2.0 – 2.4 m3,Operation / Application | Standard bucket capacity SAE,2.0 m3,Operation / Application | Standard bucket capacity SAE,2.3 m3,Operation / Application | Bucket capacity SAE,1.9 - 2.7 m3,,Operation / Application | Bucket capacity SAE,2.3 - 3.2 m3,,Operation / Application | Bucket capacity SAE,2.7 - 3.2 m3,Operation / Application | Bucket capacity SAE,2.7 - 4.0 m3,,Operation / Application | Bucket capacity SAE,2.7 - 3.6 m3,,Operation / Application | Bucket capacity SAE,3.1 - 4.6 m3,,Operation / Application | Bucket capacity SAE,3.8 - 4.65 m3,,Operation / Application | Bucket capacity SAE,3.8 - 4.65 m3,,Operation / Application | Bucket capacity SAE,3.8 - 6.1 m3,,Operation / Application | Bucket capacity SAE,5.6 - 7.0 m3,,Operation / Application | Bucket capacity SAE,4.5 - 7.0 m3,,Operation / Application | Bucket capacity SAE,6.4 - 7.0 m3,,Operation / Application | Bucket capacity SAE,6.4 - 7.8 m3,,Operation / Application | Dump clearance at 45° dump angle,2335 mm,,Operation / Application | Bucket description,Spade nose,,Operation / Application | Bucket capacity SAE,10.0 - 14.0 m3,,Operation / Application | Bucket capacity SAE,11.5 - 13.0 m3,
Transmission | Hydrostatic pump,1 variable piston pump,,Operation / Application | Standard bucket capacity SAE,20.0 m3,,Operation / Application | Standard bucket capacity SAE,1.7 m3,Operation / Application | Bucket description,"Pin On, General Purpose, Bolt on Edge",Operation / Application | Bucket description,"Stockpile bucket, pin on",Operation / Application | Bucket description,"Stockpile bucket, pin on",Operation / Application | Standard bucket capacity SAE,2.3 m3,,Operation / Application | Standard bucket capacity SAE,3.0 m3,,Operation / Application | Standard bucket capacity SAE,3.2 m3,Operation / Application | Standard bucket capacity SAE,3.6 m3,,Operation / Application | Standard bucket capacity SAE,3.6 m3,,Operation / Application | Standard bucket capacity SAE,3.8 m3,,Operation / Application | Standard bucket capacity SAE,4.65 m3,,Operation / Application | Standard bucket capacity SAE,4.65 m3,,Operation / Application | Standard bucket capacity SAE,5.0 m3,,Operation / Application | Standard bucket capacity SAE,6.4 m3,,Operation / Application | Standard bucket capacity SAE,6.4 m3,,Operation / Application | Standard bucket capacity SAE,6.4 m3,,Operation / Application | Standard bucket capacity SAE,7.8 m3,,Operation / Application | Dump reach at 45° dump angle,960 mm,,Operation / Application | Bucket width,4330 mm,,Operation / Application | Standard bucket capacity SAE,11.0 m3,,Operation / Application | Standard bucket capacity SAE,13.0 m3,
Transmission | Hydrostatic motor,1 variable piston motor,,Operation / Application | Bucket width,6400 mm,,Operation / Application | Bucket description,Light material bucket,Operation / Application | Bucket width,2550 mm,Operation / Application | Bucket width,2540 mm,Operation / Application | Bucket width,2550 mm,Operation / Application | Bucket description,General purpose bucket,,Operation / Application | Bucket description,General purpose bucket,,Operation / Application | Bucket description,"Light material bucket, pin on",Operation / Application | Bucket description,Loose material bucket,,Operation / Application | Bucket description,Loose material bucket,,Operation / Application | Bucket description,General purpose bucket,,Operation / Application | Bucket description,Loose material bucket,,Operation / Application | Bucket description,Loose material bucket,,Operation / Application | Bucket description,General purpose bucket,,Operation / Application | Bucket description,General purpose bucket,,Operation / Application | Bucket description,General purpose bucket,,Operation / Application | Bucket description,To suit application,,Operation / Application | Bucket description,Load and carry bucket,,"Operation / Application | Static tipping load, straight",4170 kg,,Operation / Application | Dump clearance at 45° dump angle,4085 mm,,Operation / Application | Bucket width,4810 mm,,Operation / Application | Bucket width,4935 mm,
Transmission | Speed ranges (forwards/backwards),2/2,,Operation / Application | Dump clearance at 45° dump angle,6305 mm,,Operation / Application | Bucket width,2390 mm,Operation / Application | Dump clearance at 45° dump angle,2965 mm,Operation / Application | Dump clearance at 45° dump angle,2965 mm,Operation / Application | Dump clearance at 45° dump angle,2945 mm,Operation / Application | Bucket width,2550 mm,,Operation / Application | Bucket width,2740 mm,,Operation / Application | Bucket width,2740 mm,Operation / Application | Bucket width,"2,905 mm",,Operation / Application | Bucket width,2905 mm,,Operation / Application | Bucket width,3050 mm,,Operation / Application | Bucket width,3170 mm,,Operation / Application | Bucket width,3170 mm,,Operation / Application | Bucket width,3170 mm,,Operation / Application | Bucket width,3400 mm,,Operation / Application | Bucket width,3400 mm,,Operation / Application | Bucket width,3685 mm,,Operation / Application | Bucket width,3805 mm,,"Operation / Application | Static tipping load, full turn",3620 kg,,Operation / Application | Dump reach at 45° dump angle,2135 mm,,Operation / Application | Dump clearance at 45° dump angle,4630 mm,,Operation / Application | Dump clearance at 45° dump angle,4610 mm,
Weights | Operating weight,7.065 - 7.36 kg,,Operation / Application | Dump reach at 45° dump angle,2890 mm,,Operation / Application | Dump clearance at 45° dump angle,2630 mm,Operation / Application | Dump reach at 45° dump angle,950 mm,Operation / Application | Dump reach at 45° dump angle,950 mm,Operation / Application | Dump reach at 45° dump angle,945 mm,Operation / Application | Dump clearance at 45° dump angle,2975 mm,,Operation / Application | Dump clearance at 45° dump angle,2880 mm,,Operation / Application | Dump clearance at 45° dump angle,2800 mm,Operation / Application | Dump clearance at 45° dump angle,"2,950 mm",,Operation / Application | Dump clearance at 45° dump angle,2950 mm,,Operation / Application | Dump clearance at 45° dump angle,3020 mm,,Operation / Application | Dump clearance at 45° dump angle,3185 mm,,Operation / Application | Dump clearance at 45° dump angle,3055 mm,,Operation / Application | Dump clearance at 45° dump angle,3205 mm,,Operation / Application | Dump clearance at 45° dump angle,3235 mm,,Operation / Application | Dump clearance at 45° dump angle,3235 mm,,Operation / Application | Dump clearance at 45° dump angle,3930 mm,,Operation / Application | Dump clearance at 45° dump angle,3615 mm,,Operation / Application | Breakout force,35 kN  3569 kgf,,"Operation / Application | Static tipping load, full turn",41070 kg,,Operation / Application | Dump reach at 45° dump angle,2385 mm,,Operation / Application | Dump reach at 45° dump angle,2685 mm,
Hydraulic System | System,Open hydraulic system,Open hydraulic system,"Operation / Application | Static tipping load, straight",121930 kg,,Operation / Application | Dump reach at 45° dump angle,1045 mm,"Operation / Application | Static tipping load, straight",8725kg,"Operation / Application | Static tipping load, straight",8400 kg,"Operation / Application | Static tipping load, straight",9340 kg,Operation / Application | Dump reach at 45° dump angle,945 mm,,Operation / Application | Dump reach at 45° dump angle,1000 mm,,Operation / Application | Dump reach at 45° dump angle,1070 mm,Operation / Application | Dump reach at 45° dump angle,1210 mm,,Operation / Application | Dump reach at 45° dump angle,1150 mm,,Operation / Application | Dump reach at 45° dump angle,1190 mm,,Operation / Application | Dump reach at 45° dump angle,1235 mm,,Operation / Application | Dump reach at 45° dump angle,1365 mm,,Operation / Application | Dump reach at 45° dump angle,1410 mm,,Operation / Application | Dump reach at 45° dump angle,1600 mm,,Operation / Application | Dump reach at 45° dump angle,1600 mm,,Operation / Application | Dump reach at 45° dump angle,1800 mm,,Operation / Application | Dump reach at 45° dump angle,2000 mm,,Axles | Drive system,Four-wheel drive,,Operation / Application | Breakout force,517 kN  52700 kgf,,"Operation / Application | Static tipping load, straight",61090 kg,,"Operation / Application | Static tipping load, straight",71840 kg,
Hydraulic System | Working pressure (max.),270 bar,,"Operation / Application | Static tipping load, full turn",107060 kg,,"Operation / Application | Static tipping load, straight",6280 kg,"Operation / Application | Static tipping load, full turn",7645,"Operation / Application | Static tipping load, full turn",7350 kg,"Operation / Application | Static tipping load, full turn",8170 kg,"Operation / Application | Static tipping load, straight",10330 kg,,"Operation / Application | Static tipping load, straight",11500 kg,,"Operation / Application | Static tipping load, straight",11070 kg,"Operation / Application | Static tipping load, straight","15,550 kg",,"Operation / Application | Static tipping load, straight",15440 kg,,"Operation / Application | Static tipping load, straight","15,170 kg",,"Operation / Application | Static tipping load, straight",20230 kg,,"Operation / Application | Static tipping load, straight",20090 kg,,"Operation / Application | Static tipping load, straight","21,010 kg",,"Operation / Application | Static tipping load, straight",28035 kg,,"Operation / Application | Static tipping load, straight",28910 kg,,"Operation / Application | Static tipping load, full turn",30345 kg,,"Operation / Application | Static tipping load, straight",43265 kg,,Axles | Axles,Planetary rigid axles with automatic limited slip differentials in both axles,,Axles and Final Drives | Drive system,Four-wheel drive,,"Operation / Application | Static tipping load, full turn",53740 kg,,"Operation / Application | Static tipping load, full turn",63610 kg,
Hydraulic System | Maximum pump flow,75 l/min,,Operation / Application | Breakout force,1275 kN  130000 kgf,,"Operation / Application | Static tipping load, full turn",5460 kg,Operation / Application | Breakout force,"11,000 kgf",Operation / Application | Breakout force,106 kN  10840 kgf,Operation / Application | Breakout force,131 kN  13380 kgf,"Operation / Application | Static tipping load, full turn",8930 kg,,"Operation / Application | Static tipping load, full turn",9780 kg,,"Operation / Application | Static tipping load, full turn",9500 kg,"Operation / Application | Static tipping load, full turn","13,435 kg",,"Operation / Application | Static tipping load, full turn",13440 kg,,"Operation / Application | Static tipping load, full turn","13,710 kg",,"Operation / Application | Static tipping load, full turn",17400 kg,,"Operation / Application | Static tipping load, full turn",17280 kg,,"Operation / Application | Static tipping load, full turn","17,975 kg",,"Operation / Application | Static tipping load, full turn",24885 kg,,"Operation / Application | Static tipping load, full turn",26025 kg,,Operation / Application | Breakout force,387 kN  39500 kgf,,"Operation / Application | Static tipping load, full turn",37080 kg,,Axles | Oscillation,Rear axle oscillation angle 10°,,Axles and Final Drives | Front,"Fixed, full-floating",,Operation / Application | Breakout force,677 kN  69000 kgf,,Operation / Application | Breakout force,705 kN  71900 kgf,
Hydraulic System | Option,120 l/min,,Axles and Final Drives | Drive system,Four-wheel drive,,Operation / Application | Breakout force,64 kN  6530 kgf,Axles and Final Drives | Drive system,Four-wheel drive,Axles and Final Drives | Drive system,Four-wheel drive,Axles and Final Drives | Drive system,Four-wheel drive,Operation / Application | Breakout force,131 kN  13375 kgf,,Operation / Application | Breakout force,162 kN  16470 kgf,,Operation / Application | Breakout force,154 kN  15720 kgf,Operation / Application | Breakout force,"158 kN  16,100 kgf",,Operation / Application | Breakout force,158 kN  16100 kgf,,Operation / Application | Breakout force,"180 kN  18,400 kgf",,Operation / Application | Breakout force,168 kN  17140 kgf,,Operation / Application | Breakout force,168 kN  17140 kgf,,Operation / Application | Breakout force,"212 kN  21,600 kgf",,Operation / Application | Breakout force,267 kN  27200 kgf,,Operation / Application | Breakout force,267 kN  27200 kgf,,Operation / Application | Standard boom,3990 mm,,Operation / Application | Breakout force,355 kN  36200 kgf,,Brakes | Service brakes,Combined inch/brake pedal actuate on all four wheels via hydrostatic drive and dry disc at front axle,,Axles and Final Drives | Rear,"Centre-pin support, full-floating, 22° total oscillation",,Axles and Final Drives | Drive system,Four-wheel drive,,Axles and Final Drives | Drive system,Four-wheel drive,
Hydraulic System | No. of boom/bucket cylinders,2/1,,Axles and Final Drives | Front,"Fixed, full-floating",,Axles and Final Drives | Drive system,Four-wheel drive,Axles and Final Drives | Front,"Fixed, semi-floating",Axles and Final Drives | Front,"Fixed, semi-floating",Axles and Final Drives | Front,"Fixed, semi-floating",Axles and Final Drives | Drive system,Four-wheel drive,,Axles and Final Drives | Drive system,Four-wheel drive,,Axles and Final Drives | Drive system,Four-wheel drive,Axles and Final Drives | Drive system,Four-wheel drive,,Axles and Final Drives | Drive system,Four-wheel drive,,Axles and Final Drives | Drive system,Four-wheel drive,,Axles and Final Drives | Drive system,Four-wheel drive,,Axles and Final Drives | Drive system,Four-wheel drive,,Axles and Final Drives | Drive system,Four-wheel drive,,Axles and Final Drives | Drive system,Four-wheel drive,,Axles and Final Drives | Drive system,Four-wheel drive,,Axles and Final Drives | Drive system,Four-wheel drive,,Axles and Final Drives | Drive system,Four-wheel drive,,Brakes | Parking brake,Dry disc,,Axles and Final Drives | Reduction gear,Spiral bevel gear,,Axles and Final Drives | Front,"Fixed, full-floating",,Axles and Final Drives | Front,"Fixed, full-floating",
Hydraulic System | Type,Double-action,,Axles and Final Drives | Rear,"Centre-pin support, full-floating, 16° total oscillation",,Axles and Final Drives | Front,"Fixed, semi-floating",Axles and Final Drives | Rear,"Center-pin support, semi-floating, 24° total oscillation",Axles and Final Drives | Rear,"Centre-pin support, semi-floating, 24° total oscillation",Axles and Final Drives | Rear,"Centre-pin support, semi-floating, 24° total oscillation",Axles and Final Drives | Front,"Fixed, semi-floating",,Axles and Final Drives | Front,"Fixed, semi-floating",,Axles and Final Drives | Front,"Fixed, semi-floating",Axles and Final Drives | Front,"Fixed, semi-floating",,Axles and Final Drives | Front,"Fixed, semi-floating",,Axles and Final Drives | Front,"Fixed, semi-floating",,Axles and Final Drives | Front,"Fixed, semi-floating",,Axles and Final Drives | Front,"Fixed, semi-floating",,Axles and Final Drives | Front,"Fixed, semi-floating",,Axles and Final Drives | Front,"Fixed, full-floating",,Axles and Final Drives | Front,"Fixed, full-floating",,Axles and Final Drives | Front,"Fixed, full-floating",,Axles and Final Drives | Front,"Fixed, full-floating",,Hydraulic System | Hydraulic pump,"Piston pump, in common with loader control",,Axles and Final Drives | Differential gear,Straight bevel gear,,Axles and Final Drives | Rear,"Centre-pin support, full-floating, 22° total oscillation",,Axles and Final Drives | Rear,"Centre-pin support, full-floating, 20° total oscillation",
Hydraulic System | Bore diameter × stroke:,,,Axles and Final Drives | Reduction gear,Spiral bevel gear,,Axles and Final Drives | Rear,"Centre-pin support, semi-floating, 16° total oscillation",Axles and Final Drives | Reduction gear,Spiral bevel gear,Axles and Final Drives | Reduction gear,Spiral bevel gear,Axles and Final Drives | Reduction gear,Spiral bevel gear,Axles and Final Drives | Rear,"Centre-pin support, semi-floating, 24° total oscillation",,Axles and Final Drives | Rear,"Centre-pin support, semi-floating, 24° total oscillation",,Axles and Final Drives | Rear,"Centre-pin support, semi-floating, 24° total oscillation",Axles and Final Drives | Rear,"Centre-pin support, semi-floating, 26° total oscillation",,Axles and Final Drives | Rear,"Centre-pin support, semi-floating, 26° total oscillation",,Axles and Final Drives | Rear,"Centre-pin support, semi-floating, 18° total oscillation",,Axles and Final Drives | Rear,"Centre-pin support, semi-floating, 26° total oscillation",,Axles and Final Drives | Rear,"Centre-pin support, semi-floating, 26° total oscillation",,Axles and Final Drives | Rear,"Centre-pin support, semi-floating, 26° total oscillation",,Axles and Final Drives | Rear,"Centre-pin support, full-floating, 24° total oscillation",,Axles and Final Drives | Rear,"Centre-pin support, full-floating, 20° total oscillation",,Axles and Final Drives | Rear,"Centre-pin support, full-floating, 26° total oscillation",,Axles and Final Drives | Rear,"Centre-pin support, full-floating, 22° total oscillation",,Hydraulic System | Capacity (at rated rpm),53 ltr/min,,Axles and Final Drives | Final reduction gear,"Planetary gear, single reduction, oil bath",,Axles and Final Drives | Reduction gear,Spiral bevel gear,,Axles and Final Drives | Reduction gear,Spiral bevel gear,
Hydraulic System | Boom cylinder,80 × 714 mm,,Axles and Final Drives | Differential gear,Straight bevel gear,,Axles and Final Drives | Reduction gear,Spiral bevel gear,Axles and Final Drives | Differential gear,Torque proportioning,Axles and Final Drives | Differential gear,Torque proportioning,Axles and Final Drives | Differential gear,Torque proportioning,Axles and Final Drives | Reduction gear,Spiral bevel gear,,Axles and Final Drives | Reduction gear,Spiral bevel gear,,Axles and Final Drives | Reduction gear,Spiral bevel gear,Axles and Final Drives | Reduction gear,Spiral bevel gear,,Axles and Final Drives | Reduction gear,Spiral bevel gear,,Axles and Final Drives | Reduction gear,Spiral bevel gear,,Axles and Final Drives | Reduction gear,Spiral bevel gear,,Axles and Final Drives | Reduction gear,Spiral bevel gear,,Axles and Final Drives | Reduction gear,Spiral bevel gear,,Axles and Final Drives | Reduction gear,Spiral bevel gear,,Axles and Final Drives | Reduction gear,Spiral bevel gear,,Axles and Final Drives | Reduction gear,Spiral bevel gear,,Axles and Final Drives | Reduction gear,Spiral bevel gear,,Hydraulic System | Relief valve setting,17.5 MPa  178.6 kgf/cm2,,Brakes | Service brakes,"Hydraulically actuated, wet disc brakes actuate on four wheels",,Axles and Final Drives | Differential gear,Straight bevel gear,,Axles and Final Drives | Differential gear,Conventional type,
Hydraulic System | Bucket cylinder,100 × 476 mm,,Axles and Final Drives | Final reduction gear,"Planetary gear, double reduction, oil bath",,Axles and Final Drives | Differential gear,Torque proportioning,Axles and Final Drives | Final reduction gear,"Planetary gear, single reduction",Axles and Final Drives | Final reduction gear,"Planetary gear, single reduction",Axles and Final Drives | Final reduction gear,"Planetary gear, single reduction",Axles and Final Drives | Differential gear,Torque proportioning,,Axles and Final Drives | Differential gear,Torque proportioning,,Axles and Final Drives | Differential gear,Torque proportioning,Axles and Final Drives | Differential gear,Conventional type,,Axles and Final Drives | Differential gear,Conventional type,,Axles and Final Drives | Differential gear,Conventional type,,Axles and Final Drives | Differential gear,Conventional type,,Axles and Final Drives | Differential gear,Conventional type,,Axles and Final Drives | Differential gear,Conventional type,,Axles and Final Drives | Differential gear,Conventional type,,Axles and Final Drives | Differential gear,Conventional type,,Axles and Final Drives | Differential gear,Conventional type,,Axles and Final Drives | Differential gear,Conventional type,,Hydraulic System | Hydraulic Cylinders:,,,Brakes | Parking brake,"Dry-disc, hydraulically released, spring-applied on front axle input shelf",,Axles and Final Drives | Final reduction gear,"Planetary gear, single reduction, oil bath",,Axles and Final Drives | Final reduction gear,"Planetary gear, single reduction",
Hydraulic System | Hydraulic control lever,Multifunction lever,,Brakes | Service brakes,"Hydraulically actuated, wet multiple-disc brakes actuate on four wheels",,Axles and Final Drives | Final reduction gear,"Planetary gear, single reduction",Brakes | Service brakes,"Hydraulically actuated, wet disc brakes actuate on four wheels",Brakes | Service brakes,"Hydraulically actuated, wet disc brakes actuate on four wheels",Brakes | Service brakes,"Hydraulically actuated, wet disc brakes actuate on four wheels",Axles and Final Drives | Final reduction gear,"Planetary gear, single reduction",,Axles and Final Drives | Final reduction gear,"Planetary gear, single reduction",,Axles and Final Drives | Final reduction gear,"Planetary gear, single reduction",Axles and Final Drives | Final reduction gear,"Planetary gear, single reduction",,Axles and Final Drives | Final reduction gear,"Planetary gear, single reduction",,Axles and Final Drives | Final reduction gear,"Planetary gear, single reduction",,Axles and Final Drives | Final reduction gear,"Planetary gear, single reduction",,Axles and Final Drives | Final reduction gear,"Planetary gear, single reduction",,Axles and Final Drives | Final reduction gear,"Planetary gear, single reduction",,Axles and Final Drives | Final reduction gear,"Planetary gear, single reduction",,Axles and Final Drives | Final reduction gear,"Planetary gear, single reduction",,Axles and Final Drives | Final reduction gear,"Planetary gear, single reduction",,Axles and Final Drives | Final reduction gear,"Planetary gear, single reduction",,Hydraulic System | Type,"Double-acting, piston type",,Hydraulic System | Hydraulic pump,Piston pump,,Brakes | Service brakes,"Hydraulically actuated, wet disc brakes actuate on four wheels",,Brakes | Service brakes,"Hydraulically actuated,  wet multiple-disc brakes actuate on four wheels",
Hydraulic System | ,,,Brakes | Parking brake,"Wet, multiple-disc, hydraulically released, spring-applied in the transmission",,Brakes | Service brakes,"Hydraulically actuated, wet disc brakes actuate on four wheels",Brakes | Parking brake,"Wet, multi-disc brake on transfer output shaft",Brakes | Parking brake,"Wet, multi-disc brake on transfer output shaft",Brakes | Parking brake,"Wet, multi-disc brake on transfer output shaft",Brakes | Service brakes,"Hydraulically actuated, wet disc brakes actuate on four wheels",,Brakes | Service brakes,"Hydraulically actuated, wet disc brakes actuate on four wheels",,Brakes | Service brakes,"Hydraulically actuated, wet disc brakes actuate on four wheels",Brakes | Service brakes,"Hydraulically actuated, wet disc brakes actuate on four wheels",,Brakes | Service brakes,"Hydraulically actuated, wet disc brakes actuate on four wheels",,Brakes | Service brakes,"Hydraulically actuated, wet disc brakes actuate on four wheels",,Brakes | Service brakes,"Hydraulically actuated, wet disc brakes actuate on four wheels",,Brakes | Service brakes,"Hydraulically actuated, wet disc brakes actuate on four wheels",,Brakes | Service brakes,"Hydraulically actuated, wet disc brakes actuate on four wheels",,Brakes | Service brakes,"Hydraulically actuated, wet multiple-disc brakes actuate on four wheels",,Brakes | Service brakes,"Hydraulically actuated, wet disc brakes actuate on four wheels",,Brakes | Service brakes,"Hydraulically actuated, wet disc brakes actuate on four wheels",,Brakes | Service brakes,"Hydraulically actuated, wet multiple-disc brakes actuate on four wheels",,Hydraulic System | Number of cylinders,1,,Hydraulic System | Capacity (at rated rpm),203 ltr/min,,Brakes | Parking brake,Dry disc brake,,Brakes | Parking brake,Wet multiple-disc brake,
Hydraulic System | Hydraulic cycle with rated load bucket filling:,,,Hydraulic System | Capacity (at rated rpm),633 ltr/min,,Brakes | Parking brake,"Wet, multi-disc brake on transfer output shaft",Brakes | Secondary brake,One of dual service brake circuits is commonly used,Brakes | Secondary brake,Parking brake is commonly used,Brakes | Secondary brake,Parking brake is commonly used,Brakes | Parking brake,"Wet, multi-disc brake on transfer output shaft",,Brakes | Parking brake,"Wet, multi-disc brake on transfer output shaft",,Brakes | Parking brake,"Wet, multi-disc brake on transfer output shaft",Brakes | Parking brake,Wet disc brake,,Brakes | Parking brake,Wet disc brake,,Brakes | Parking brake,Wet disc brake,,Brakes | Parking brake,Wet multiple-disc brake,,Brakes | Parking brake,Wet disc brake,,Brakes | Parking brake,Wet disc brake,,Brakes | Parking brake,Wet multiple-disc brake,,Brakes | Parking brake,Wet disc brake,,Brakes | Parking brake,Wet disc brake,,Brakes | Parking brake,Wet multiple-disc brake,,Hydraulic System | Bore x stroke,70 mm x 363 mm,,Hydraulic System | Relief valve setting,31.4 MPa  320 kgf/cm2,,Brakes | Secondary brake,Parking brake is commonly used,,Brakes | Secondary brake,One of dual service brake circuits  is commonly used,
Hydraulic System | Raise time,5.7s,,Hydraulic System | Relief valve setting,31.4 MPa  320 kgf/cm2,,Brakes | Secondary brake,Parking brake is commonly used,Hydraulic System | Steering System:,,Hydraulic System | Hydraulic pump,Gear type pump,Hydraulic System | Hydraulic pump,Gear type pump,Brakes | Secondary brake,Parking brake is commonly used,,Brakes | Secondary brake,Parking brake is commonly used,,Brakes | Secondary brake,Parking brake is commonly used,Brakes | Secondary brake,Parking brake is commonly used,,Brakes | Secondary brake,Parking brake is commonly used,,Brakes | Secondary brake,Parking brake is commonly used,,Brakes | Secondary brake,Parking brake is commonly used,,Brakes | Secondary brake,Parking brake is commonly used,,Brakes | Secondary brake,Parking brake is commonly used,,Brakes | Secondary brake,Parking brake is commonly used,,Brakes | Secondary brake,Parking brake is commonly used,,Brakes | Secondary brake,Parking brake is commonly used,,Brakes | Secondary brake,One of the dual service brake circuits is commonly used,,Hydraulic System | Hydraulic pump,"Piston pump, in common with steering system",,Hydraulic System | Hydraulic Cylinders:,,,Hydraulic System | Hydraulic pump,Piston pump,,Hydraulic System | Hydraulic pump,Piston pump,
Hydraulic System | Lowering time (empty),3.7s,,Hydraulic System | Hydraulic Cylinders:,,,Hydraulic System | Hydraulic pump,"Piston pump, in common with loader control",Hydraulic System | Hydraulic pump,Gear type pump,Hydraulic System | Capacity (at rated rpm),85 ltr/min,Hydraulic System | Capacity (at rated rpm),110 ltr/min,Hydraulic System | Hydraulic pump,"Piston pump, in common with loader control",,Hydraulic System | Hydraulic pump,"Piston pump, in common with loader control",,Hydraulic System | Hydraulic pump,Gear type pump,Hydraulic System | Hydraulic pump,Piston pump,,Hydraulic System | Hydraulic pump,Piston pump,,Hydraulic System | Hydraulic pump,Piston pump,,Hydraulic System | Hydraulic pump,Piston pump,,Hydraulic System | Hydraulic pump,Piston pump,,Hydraulic System | Hydraulic pump,Piston pump,,Hydraulic System | Hydraulic pump,Piston pump,,Hydraulic System | Hydraulic pump,Piston pump,,Hydraulic System | Hydraulic pump,Piston pump,,Hydraulic System | Hydraulic pump,Piston pump,,Hydraulic System | Capacity,53 ltr/min,,Hydraulic System | Type,"Double-acting, piston type",,Hydraulic System | Capacity (at rated rpm),307 ltr/min,,Hydraulic System | Capacity (at rated rpm),2 x 220 L/min,
